<PAD>,0
<CLS>,1
<SEP>,2
<MASK>,3
<UNK>,4
wa,5
The,6
It,7
He,8
--,9
also,10
In,11
ha,12
born,13
first,14
one,15
American,16
year,17
known,18
United,19
New,20
film,21
two,22
County,23
album,24
States,25
family,26
A,27
part,28
team,29
University,30
time,31
located,32
season,33
name,34
member,35
This,36
village,37
National,38
area,39
used,40
played,41
released,42
World,43
state,44
District,45
work,46
She,47
specie,48
series,49
former,50
de,51
including,52
game,53
South,54
football,55
district,56
school,57
population,58
three,59
song,60
second,61
1,62
city,63
-,64
became,65
station,66
made,67
British,68
km,69
later,70
May,71
player,72
March,73
group,74
January,75
many,76
well,77
League,78
September,79
number,80
October,81
August,82
company,83
June,84
served,85
town,86
band,87
July,88
since,89
April,90
November,91
new,92
December,93
2,94
system,95
held,96
based,97
John,98
2010,99
English,100
School,101
single,102
people,103
2006,104
country,105
place,106
North,107
War,108
music,109
several,110
February,111
may,112
play,113
would,114
York,115
event,116
City,117
called,118
3,119
named,120
book,121
building,122
2011,123
His,124
State,125
published,126
found,127
within,128
early,129
century,130
As,131
4,132
2012,133
2009,134
2008,135
I,136
River,137
professional,138
community,139
service,140
built,141
club,142
On,143
They,144
world,145
10,146
2007,147
French,148
title,149
At,150
national,151
region,152
After,153
four,154
2014,155
German,156
6,157
2015,158
use,159
include,160
5,161
show,162
following,163
2013,164
small,165
England,166
record,167
television,168
water,169
form,170
West,171
government,172
currently,173
home,174
politician,175
Australia,176
Australian,177
House,178
best,179
public,180
2016,181
election,182
near,183
College,184
died,185
around,186
high,187
Province,188
career,189
produced,190
written,191
local,192
woman,193
7,194
California,195
along,196
term,197
life,198
took,199
major,200
municipality,201
International,202
II,203
2005,204
line,205
12,206
Canada,207
footballer,208
third,209
end,210
India,211
son,212
census,213
15,214
20,215
Canadian,216
There,217
final,218
level,219
role,220
received,221
2004,222
north,223
genus,224
large,225
Cup,226
day,227
history,228
plant,229
France,230
south,231
began,232
house,233
feature,234
London,235
Party,236
founded,237
change,238
last,239
artist,240
directed,241
8,242
often,243
set,244
2000,245
list,246
death,247
program,248
power,249
main,250
East,251
11,252
established,253
Indian,254
included,255
international,256
language,257
Park,258
16,259
30,260
William,261
14,262
run,263
period,264
site,265
child,266
due,267
Germany,268
student,269
five,270
development,271
European,272
25,273
9,274
different,275
13,276
created,277
Association,278
18,279
point,280
Football,281
original,282
Its,283
For,284
Central,285
west,286
east,287
2003,288
field,289
energy,290
director,291
America,292
political,293
production,294
party,295
million,296
writer,297
story,298
Poland,299
17,300
side,301
Church,302
version,303
2002,304
various,305
recorded,306
study,307
San,308
2001,309
approximately,310
general,311
law,312
track,313
author,314
Olympics,315
match,316
late,317
long,318
novel,319
character,320
research,321
church,322
James,323
largest,324
competition,325
art,326
Council,327
China,328
rock,329
elected,330
head,331
High,332
However,333
President,334
debut,335
worked,336
led,337
George,338
organization,339
result,340
Japan,341
Division,342
total,343
listed,344
men,345
studio,346
coach,347
right,348
top,349
climate,350
Italian,351
human,352
24,353
Army,354
Street,355
among,356
league,357
land,358
business,359
21,360
office,361
considered,362
19,363
given,364
back,365
Union,366
includes,367
age,368
project,369
During,370
originally,371
developed,372
US,373
Island,374
One,375
current,376
22,377
Republic,378
Russian,379
Summer,380
island,381
Championship,382
Award,383
Royal,384
1999,385
river,386
23,387
Japanese,388
actor,389
order,390
race,391
release,392
lie,393
28,394
support,395
formed,396
make,397
video,398
left,399
position,400
type,401
radio,402
competed,403
like,404
still,405
King,406
26,407
moved,408
popular,409
college,410
1996,411
could,412
1998,413
1992,414
described,415
county,416
singer,417
capital,418
tournament,419
represented,420
lead,421
27,422
playing,423
important,424
common,425
UK,426
northern,427
medal,428
short,429
road,430
episode,431
central,432
process,433
Lake,434
Europe,435
style,436
Western,437
much,438
example,439
become,440
General,441
started,442
administrative,443
David,444
From,445
award,446
model,447
six,448
Washington,449
military,450
class,451
1997,452
take,453
Institute,454
1994,455
Robert,456
100,457
Kingdom,458
using,459
Iran,460
seat,461
case,462
1990,463
Zealand,464
1995,465
unit,466
official,467
Club,468
These,469
1991,470
29,471
father,472
designed,473
way,474
1993,475
science,476
design,477
southern,478
Texas,479
province,480
Records,481
appeared,482
another,483
Charles,484
ice,485
Spanish,486
Africa,487
Historic,488
1988,489
Company,490
Academy,491
cover,492
see,493
railway,494
Thomas,495
global,496
per,497
Championships,498
force,499
Road,500
war,501
Category,502
moth,503
effect,504
Department,505
1989,506
brother,507
source,508
leader,509
came,510
Center,511
sea,512
issue,513
owned,514
range,515
went,516
First,517
usually,518
win,519
across,520
Chinese,521
individual,522
Hall,523
round,524
stage,525
Air,526
product,527
Best,528
natural,529
division,530
According,531
live,532
social,533
center,534
Group,535
joined,536
Navy,537
performance,538
department,539
body,540
Minister,541
married,542
appointed,543
sport,544
1984,545
similar,546
ship,547
1987,548
finished,549
Roman,550
TV,551
1986,552
Ireland,553
producer,554
retired,555
appearance,556
Music,557
sometimes,558
regional,559
industry,560
All,561
although,562
property,563
structure,564
Virginia,565
star,566
addition,567
fourth,568
activity,569
An,570
championship,571
1980,572
Society,573
education,574
others,575
Great,576
Voivodeship,577
1985,578
Since,579
When,580
No,581
degree,582
edition,583
president,584
available,585
present,586
opened,587
sold,588
2017,589
air,590
1982,591
basketball,592
modern,593
collection,594
mountain,595
1983,596
Paul,597
champion,598
magazine,599
however,600
refer,601
Catholic,602
Register,603
Court,604
working,605
le,606
network,607
lost,608
making,609
material,610
location,611
featured,612
mean,613
said,614
word,615
Michael,616
Rural,617
previously,618
Mexico,619
chart,620
1979,621
wife,622
operation,623
leading,624
control,625
data,626
without,627
daughter,628
awarded,629
active,630
31,631
performed,632
medium,633
month,634
Wales,635
Northern,636
western,637
Parliament,638
ground,639
1978,640
technology,641
officer,642
Assembly,643
historic,644
together,645
Greek,646
private,647
1972,648
hit,649
Irish,650
native,651
wrote,652
Henry,653
Pennsylvania,654
Grand,655
car,656
Italy,657
1976,658
temperature,659
operated,660
Some,661
La,662
Christian,663
market,664
Bay,665
Los,666
throughout,667
1981,668
musician,669
formerly,670
1974,671
action,672
information,673
Games,674
park,675
even,676
movement,677
old,678
date,679
commune,680
open,681
1975,682
eastern,683
African,684
returned,685
contains,686
label,687
Florida,688
section,689
1977,690
gas,691
parish,692
independent,693
1968,694
goal,695
commonly,696
related,697
1970,698
court,699
professor,700
serving,701
whose,702
seven,703
forest,704
highest,705
carbon,706
With,707
Although,708
1971,709
university,710
announced,711
rule,712
every,713
standard,714
Scottish,715
border,716
Carolina,717
Paris,718
Act,719
referred,720
Chicago,721
continued,722
Her,723
next,724
construction,725
St,726
winning,727
Richard,728
Peter,729
increase,730
Russia,731
Places,732
article,733
Earth,734
situated,735
actress,736
1969,737
surface,738
1945,739
50,740
figure,741
Spain,742
Dutch,743
commercial,744
recording,745
winner,746
Committee,747
reached,748
though,749
Sir,750
1973,751
mile,752
famous,753
broadcast,754
space,755
week,756
musical,757
Film,758
white,759
composer,760
annual,761
previous,762
half,763
successful,764
consists,765
primary,766
While,767
interest,768
generally,769
centre,770
close,771
policy,772
facility,773
person,774
eight,775
significant,776
mi,777
Museum,778
Region,779
associated,780
female,781
light,782
Swedish,783
oil,784
hockey,785
emission,786
Democratic,787
signed,788
1967,789
starring,790
Festival,791
either,792
gold,793
Southern,794
Valley,795
1964,796
metre,797
settlement,798
primarily,799
Women,800
Ohio,801
Soviet,802
Township,803
Gmina,804
success,805
involved,806
founder,807
variety,808
practice,809
Science,810
free,811
Government,812
provide,813
Angeles,814
newspaper,815
full,816
young,817
come,818
doe,819
taken,820
cost,821
Scotland,822
lake,823
Railway,824
theory,825
traditional,826
drama,827
course,828
good,829
numerous,830
food,831
Joseph,832
host,833
1965,834
Conference,835
computer,836
function,837
method,838
black,839
rate,840
Pacific,841
special,842
1960,843
